price,ranks,title,no_of_reviews,ratings,author,cover_type,year,genre
10.42,19.0,The Guernsey Literary and Potato Peel Pie Society,"14,884",4.7,Mary Ann Shaffer,Paperback,2009.0,Fiction
10.76,20.0,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,929,4.5,David Zinczenko,Paperback,2009.0,Non Fiction
10.5,21.0,Arguing with Idiots: How to Stop Small Minds and Big Government,895,4.6,Glenn Beck,Hardcover,2009.0,Non Fiction
28.49,22.0,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook","7,568",4.8,Julia Child,Hardcover,2009.0,Non Fiction
82.15,23.0,Sookie Stackhouse,995,4.7,Charlaine Harris,Mass Market Paperback,2009.0,Fiction
9.99,24.0,The Time Traveler's Wife,"6,592",4.5,Audrey Niffenegger,Paperback,2009.0,Fiction
24.29,25.0,"Publication Manual of the American Psychological Association, 6th Edition","12,674",4.5,American Psychological Association,Paperback,2009.0,Non Fiction
13.98,26.0,True Compass: A Memoir,509,4.5,Edward M. Kennedy,Hardcover,2009.0,Non Fiction
9.49,27.0,The Girl with the Dragon Tattoo (Millennium Series),"15,466",4.5,Stieg Larsson,Paperback,2009.0,Fiction
16.6,28.0,The 5000 Year Leap,"2,565",4.8,W. Cleon Skousen,Paperback,2009.0,Non Fiction
16.5,29.0,Good to Great: Why Some Companies Make the Leap and Others Don't,"5,803",4.5,Jim Collins,Hardcover,2009.0,Non Fiction
23.9,30.0,Eclipse (Twilight Sagas),"12,771",4.7,Stephenie Meyer,Paperback,2009.0,Fiction
13.2,31.0,Where the Wild Things Are,"32,044",4.9,Maurice Sendak,Hardcover,2009.0,Fiction
20.72,32.0,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition","6,262",4.6,Patrick Lencioni,Hardcover,2009.0,Non Fiction
8.77,33.0,Olive Kitteridge,"11,519",4.3,Elizabeth Strout,Paperback,2009.0,Fiction
11.74,34.0,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),"2,790",4.7,Charlaine Harris,Hardcover,2009.0,Fiction
14.97,35.0,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!","1,158",4.3,David Zinczenko,Paperback,2009.0,Non Fiction
17.54,36.0,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","2,373",4.6,Steven D. Levitt,Hardcover,2009.0,Non Fiction
12.99,37.0,The Tipping Point: How Little Things Can Make a Big Difference,"5,732",4.4,Malcolm Gladwell,Paperback,2009.0,Non Fiction
16.48,38.0,Crazy Love: Overwhelmed by a Relentless God,"1,920",4.7,Francis Chan,Paperback,2009.0,Non Fiction
10.44,39.0,"The Last Olympian (Percy Jackson and the Olympians, Book 5)","14,955",4.8,Rick Riordan,Hardcover,2009.0,Fiction
9.09,40.0,The Elegance of the Hedgehog,"3,486",4.2,Muriel Barbery,Paperback,2009.0,Fiction
9.8,41.0,"I, Alex Cross","3,242",4.6,James Patterson,Hardcover,2009.0,Fiction
22.8,42.0,The Girl Who Played with Fire (Millennium),"10,693",4.7,Stieg Larsson,Hardcover,2009.0,Fiction
14.95,43.0,The Last Lecture,"5,899",4.7,Randy Pausch,Hardcover,2009.0,Non Fiction
